Question,Subj_Q,Answer,Subj_A
رسميا    لاعب كرة القدم الأشهر ينضم للنصر السعودي في صفقة هي الاغلي للاعب كرة قدم    في رأيك هل هي صفقة موفقة للاعب والنادي والكرة السعودية عموما   ,0,في البداية أشكرك على طلب الإجابة على سؤالك  بالنسبة لصفقة انتقال لاعب أندية سبورتينج لشبونة البرتغالي ومانشستر يونايتد الانجليزي و ريال مدريد الإسباني و اليوفنتوس الإيطالي البرتغالي كريستيانو رونالدو إلى نادي النصر السعودي في صفقة مفاجئة لم تخطر على بال أحد من قبل   أحلام نومة العصر كما يقال في مصر    حيث أعلن نادي النصر السعودي  مساء الجمعة عن توقيع عقد احترافي مع البرتغالي كريستيانو رونالدو يمتد حتى صيف 2025  تحدث الكثير عن من هو المستفيد من هذه الصفقة  في الواقع كل الأطراف المعنية ستستفيد من الصفقة بشكل أو بآخر  لكن المستفيد الأكبر وهو نادي العالمي وهو لقب نادي النصر السعودي بشكل خاص والكرةفي البداية أشكرك على طلب الإجابة على سؤالك  بالنسبة لصفقة انتقال لاعب أندية سبورتينج لشبونة البرتغالي ومانشستر يونايتد الانجليزي و ريال مدريد الإسباني و اليوفنتوس الإيطالي البرتغالي كريستيانو رونالدو إلى نادي النصر السعودي في صفقة مفاجئة لم تخطر على بال أحد من قبل   أحلام نومة العصر كما يقال في مصر    حيث أعلن نادي النصر السعودي  مساء الجمعة عن توقيع عقد احترافي مع البرتغالي كريستيانو رونالدو يمتد حتى صيف 2025  تحدث الكثير عن من هو المستفيد من هذه الصفقة  في الواقع كل الأطراف المعنية ستستفيد من الصفقة بشكل أو بآخر  لكن المستفيد الأكبر وهو نادي العالمي وهو لقب نادي النصر السعودي بشكل خاص والكرة السعودية بشكل عام  فالبداية كانت بعد الإعلان عن الصفقة  حيث وصل متابعين صفحة نادي النصر السعودي على تطبيق الانستجرام لوحده لحين كتابة الإجابة نحو 4 ملاين ونصف متابع بعد أن كانت 80 ألف فقط  ناهيك عن الأرباح المتوقعة التي سيجنيها النادي من حيث الشهرة وعوائد مبيعات القميص الأصفر والأزرق الذي يحمل اسم كريستيانو  غير قيم الرعاية مقابل الإعلان على قمصان النادي أيض ا  فلنأخذ ماحدث مع ارتفاع عوائد مبيعات قمصان الأندية العالمية مثل ناديي مانشستر يونايتد الانجليزي بعد التوقيع مع النجم كريستيانو رونالدو و باريس سان جيرمان الفرنسي بعد توقيعه مع النجم الأرجنتيني ليونيل ميسي  وارتفعت مبيعات مانشستر يونايتد الإنجليزي  بعد إعادته نجمهالسابق كريستيانو رونالدو  ولتوضيح مدى أهمية عوائد بيع قمصان اللاعبين  فلنأخذ النجمين كريستيانو رونالدو وليونيل ميسي  مثالا  على ما يمكن تحقيقه من عائد اقتصادي مقابل بيع قمصان اللاعبين  إذ بمجرد توقيع رونالدو على عقد العودة إلى مانشستر يونايتد من يوفنتوس في الصيف الماضي  وتوقيع ميسي مجانا  لباريس سان جيرمان  تم طرح قميصي اللاعبين للبيع في متاجر الناديين  وأحدثا تأثيرا  اقتصاديا  كبيرا  في مداخيل الناديين  التي وصفت بأنها تاريخية فبعد الإعلان عن ارتداء رونالدو قميصه السابق رقم 7 مع الشياطين الحمر  حققت مبيعات قمصان النجم البرتغالي حوالي 187 1 مليون جنيه إسترليني  مقابل 103 8 مليون جنيه إسترليني عائد بيع قمصان الأرجنتيني ميسي مع نادي باريس سان جيرمان  وذلك بعد 8 أيام فقط من توقيع النجمين عقديهما مع الناديين  وحسب ما نشرته صحيفة عكاظ السعودية  فلقد نفذت أول دفعة من القمصان الخاصة باللاعب كريستيانو رونالدو في نادي النصر   وقيمه القميص 120 ريال سعودي و حيث تم بيع مليونا قميص في 48 ساعه فقط وبقيمة وصلت ل 240 مليون ريال سعودي أي ما يعادل 63 مليون دولار   أما بالنسبة للاعب كريستيانو رونالدو فهناك شيئين سيحدث بعد هذا الانتقال  فمن الناحية المالية وبراتب يصل إلى 200 مليون دولار أصبح كريستيانو في ع مر الـ37 يصبح الرياضي الأعلى أجر ا في العام الجديد  حسب مجلة  فوربس  Forbes   الأمريكية  أما الشيء الآخر أو الوجه السيء بالنسبة لرونالدو في هذا الانتقال فإن كريستيانو اغلق صفحة من الانجازات الكبيرة حيث إن صاحب الكرة الذهبية خمس مرات  مهدد بفقد الكثير من الأرقام القياسية على سبيل المثال لا الحصر  فإن لقب الهداف التاريخي لبطولة دوري أبطال أوروبا برصيد 140 هدف  حيث إن هذا المركز مهدد بخسارته لصالح اللاعب الأرجنتيني ليونيل ميسي برصيد 129 هدف وهو مازال نشط في بطولة دوري أبطال أوروبا مع نادي باريس سان جيرمان   وهذا رأي البسيط عن هذا الانتقال الخيالي والغير متوقع  وسنرى ماذا سيحدث مستقب لا  ,0
لماذا المنتخب الإنجليزي لكرة القدم دائما يفشل  ,0,لسببين  أولهما   لأن القيمة التسويقية للاعبيهم أكثر تضخيما    بالله عليك ستيرلينغ أزيد من 100    في حين أن قيمتهم الحقيقية أقل بكثير  ثانيا   إعطاء الأهمية الكبرى لأسماء اللاعبين وشراء النجوم   و اغفال أهمية المدرب و الخطط التكتيكية  و خير برهان هو المنتخب الأرجنتيني   منتخب غير مدجج بالنجوم   بل تم تصنيف بعض اللاعبين من الدرجة الثالثة   و مع ذلك حصد الأخضر و اليابس  فمشكلة المنتخب الإنجليزي يلعب بدون خطة   ان عمل على تحسين هذه النقطة سيكون كالمنتخب الفرنسي  ,1
عمري 22 سنة و حلمي أن أصبح لاعب كرة قدم محترف  لم يسبق لي أن لعبت مع نادي لكنني أتدرب وحدي  هل لازالت لدي فرصة لتحقيق حلمي  و إذا ماذا يجب علي أن أفعل و أتمنى أن تقترحو علي دورة تكوينية أو وكيل بإمكانه مساعدتي  شكرا مسبقا ,1,طبعا يمكنك اذا عملت بجدحاول بان تنضم الى فريق في البداية وأر هم مهاراتك,0
كم يجب ان اتمرن في الاسبوع من يوم ومدة التمرين لإنقاص الوزن ,0,لقد أجبت عن هذا السؤال لأكثر من مرة وإن عملت جولة في بروفايلي ستجد ردود مفصلة ومدققة لهذا الغرض ولكن لابأس سأعيد الإجابة في سطور ولعله خيرالرياضة من دون حمية لن توصلك إلى هدفك يجب أن تأخذ حمية مناسبة لهذا الغرض أولا  ثانيالقد أجبت عن هذا السؤال لأكثر من مرة وإن عملت جولة في بروفايلي ستجد ردود مفصلة ومدققة لهذا الغرض ولكن لابأس سأعيد الإجابة في سطور ولعله خيرالرياضة من دون حمية لن توصلك إلى هدفك يجب أن تأخذ حمية مناسبة لهذا الغرض أولا  ثانيا ثالثابعد حذفك لوجبة الفطور إستمر على صيامك المتقطع أو صيام الماء إلى غاية وجبة الغذاء بحيث يجب أن تكون قد قضيت 16 ساعة بدون أكل من عشاء البارحة إلى غذاء اليوم   رابعاثم تناول غذاءك بعد الحصة وبعده قيلولة خفيفة يكن جسمك قد عاد إلى طبيعته ثم خذ حماما بعد ذالك لإزالة العرق لايستحب أن تأخذ الحمام بعد الرياضة مباشرة ففي ذالك سلبيات على الصحة تظهر بعد مدة من جملتها أمراض ضيق التنفس يستحسن ان تكتفي بعد الحصة بتبليل منشفة بماء ساخن وامسح بها عرقك وأخر الإستحمام ماأمكن ويمكن أخذه ليلا فهو يفيد في إزالة الأرق للنوم بشكل أفضل   خامساوفقكم الرحمن لما يحبه ويرضاه ,0
أناعمري21سنة و مقيم بفرنسا أريد أن أحتراف كرة القدم فأنا لاعب جيده ولاأعرف متى تبدأ الاختبارات وهل يمكنني العمل ولاعب كرة القدم ,0,فرنسا هي الدولة الوحيدة في العالم الذي تستقبل لاعبين ما عليك هي البحت عن أكاديميات التدريب وأن تسأل عن كيفية التسجيل وعن جميع الأسئلة الذي سوف تطرحها عليهم بالنسبة للعمل  ولكن في الأول سوف تخضع إلى إختبار  تدرب على تمارين اللياقة البدنية والكارديو وتمارين الإطالة العضليةتمرن على الجري لمدة ساعة في اليوم لكي تقوم برفع المستوى البدني لجسمك  في حالة الإرهاق يوم واحد راحةتمرن في صالة كمال الأجسام مرتين في الأسبوع,0
كيف بدأت في ممارسة الرياضة وكيف جعلتها جزء من حياتك ,0,ستمارس الرياضة إن كنت تحب حياتك  و إن كنت تكره زيارة الأطباء  أجسامنا لم تصمم للجلوس و الكسل بل للحركة و السعي لذا يتفاعل الجسم مع وظائفه الداخلية عكسا مع قلة الحركة  ماذا يحصل عند قلة الحركة  ١  تنخفض وظائف الدماغ لبطء الدورة الدموية فتقل تغذيته و الأكسجين اللازم لترويته ٢  تبدأ الغضاريف و المفاصل بالتآكل لقلة الاستعمال ٣  تبدأ آفة الكبد الدهني فتعيق عمله في تنقية السموم و استقلاب الطعام ٤  ضغط القلب و الشرايين بسبب الترسبات على جدران الأوعية ٥  تخسر حجم عضلي و هذا بدوره يتسبب في تخزين دهون أكثر ٦  تزيد مستويات الإنسولين في الدم لعدم استعمال الغلوكوز فتبدأ مقاومة الخلايا له و يؤدي لمرض السكري ٧  تبدأ صعوبات التنفس لضعف دورة الاكسجين في الدم و خسارة وزن العضلات التي تدعم الجهاز التنفسي ٨  ضعف القدرة الجنسية و الرغبة  لتباطؤ تحرير الهرمونات الجنسية و تراكم الدهون ٩  الإحساس بالكآبة فقلة الحركة تزيد افرازات الكورتيزول ١٠  زيادة احتمالات الاصابة بجلطات و ضعف المناعة في الجسم ١١  ضعف الثقة بالنفس و متلازمة شكل الجسم ديسمورفيا تؤدي للانعزال الاجتماعي,0
هل استطيع اللعب كرة القدم وعمري 25عام ,0,تستطيع أن تلعب كرة القدم في هذا العمر ولكن الإحتراف سوف يكون صعب نضرا اكبر السن ولكن إذا كنت مهتم يجب عليك أن تبدأ وتكوم لك عزيمة قوية لكي ننجح في مسارك الكروي,0
انا عمري 15 ابحث منذ فتره علي نادي كره قدم في مصر في الدرجة الأولى وجاءت امامي الفرصة اللعب في دوري القسم الثالث ولكن أشعر أن هذا لن يفيدني في تحقيق حلمي وهو الاحتراف في الخارج ما رأيكم  ,0,اهلا وسهلا بحضرتكبما انك تبحث عليه منذ فترةطويله واتيحت لك الفرصة فلماذا لا تجرب اللعب واصل في اللعب حتى تصبح محترفوثم افعل ماتريدهذا رأيواكيد القرار قراركان كنت تريد ان تكمل في مصر او في الخارج,0
أنا طالب جامعي سنة ثانية  عمري 20 سنة وحلمي هو أن أصبح لاعب كرة قدم محترف  لحد الآن لم أحقق شيئا  من ذلك إم ا بسبب الدراسة وضغط الوالدين وإم ا بسبب عدم توفر نادي أو فريق يهتم بي ويعطيني فرصة حقيقية  فهل من نصيحة أو أي شيء معنوي تستطيع مساعدتي به ,0,انا مدرب كرة قدم وانصحك بالتركيز على دراستك لانه ببساطة كرة القدم لازم تبدا تدرب من عمر صغير ع الاقل ١٢ سنة لكي يتم تكوينك على اسس صحيحه فنيا وبدنيا وتكتيكيا و ذهنيا في عمر العشرين خلاص اللاعب جاهز ع كافة المستويات للعب في الفريق الاول وهنا تبدا مرحلة البحث عن الاهداف وجني ثمار العمل في الصغر,0
هل يكفي السير لمسافة 20 كم في عطلات نهاية الأسبوع للحفاظ على لياقتي  خاصة  أنني أعمل من الاثنين إلى الجمعة وليس لدي وقت لممارسة الرياضة ,0,رياضة المشي لها فوائد كبيرة لجسم الإنسان كحرق الدهون وتخفيف الوزن ولكن الرياضة كلها لا يجب أن تتخطى الحدود فتعود على صاحبها بالسيء,0
مرحبا هل من متجر على الأنترنت يبيع ملصقات خاصة بلاعبين كرة القدم   لقد اشتريت ملصق رائع للاعب ميسي لكن مشكلة هذا المتجر انه لا يوفر جميع اللاعبين   هذا هو       ,0,هناك عدة متاجر إلكترونية تبيع الملصقات الخاصة باللاعبين ما عليك سوى أن تقوم بطلب وهم يرسلون لكموقع علي إيكسبريسموقع علي بابا,0
متى بدأت تشجيع فريقك المفضل في كرة القدم ,0,2002,1
ما رأيك في مستوى حكم مباراة الأرجنتين وهولندا في ربع نهائي مونديال قطر 2022 ,0,حكيم ضعيف وله أخطاء كتيرة في المباريات,1
أتناول القهوة بشكل منتظم ويومي بمعدل فنجانين في اليوم  هل ينبغي علي أن أستبدل القهوة بمشروب آخر إذا كنت أمارس الرياضة يوميا  ,0,القهوه السوداء بدون حليب ينصح بها الأطباء تناولها قبل الرياضة لما فيها من فاءدة للجسم,1
هل تتوقع أن يتخطى منتخب المغرب المنتخب البرتغالي في دور ال 8 من مونديال قطر 2022 ,0,تم  ,0
ما هي الطريقة الصحيحة للجري بالنسبة لمدخن عمره 20 سنة وأقلع حديثا  عن التدخين  كم عدد المرات المناسب في الأسبوع ومدة الجري ونسق الجري  وما أفضل وقت للجري والمسافة اللازمة  وبعد كل كم يوم يمكنه زيادة النسق  وما وصفة الأكل قبل وبعد فترة الجري ,0,هي الارادة والعزيمة علي الاقلاع وممارسة الرياضة بصفة مستمرة,0
من تتوقع أن يصل للمربع الذهبي في مونديال كأس العالم 2022 بقطر ,0,اعتقد انه لا يمكن تحديد من سيفوز بالمربع الذهبى  لان  لحد اخر ثانيه لم يتم تحديد من سيفوز 16 8 لذلك لا يمكن تحديد من سيفوز بالمربع الذهبى  الا فى اخر ثانيه  لان متعة الكوره انها مباشرة  لحد اخر لحظه لم يتم تحديد الغالب من المغلوب,1
أزن 99 كيلوغراما   و 174 سم  هل انا في خطر ,1,جرب كودي في اي هيرب الله يحرم وجهك على الناروفي منتجات تخسيس حلوووه,1
بعد فوز منتخب السعودية على منتخب الأرجنتين والأداء القتالي والروح العالية التي أظهرها صقور الأخضر السعودي  هل تتوقع أن تصل السعودية إلى أبعد من الدور الأول في مونديال قطر 2022 ,0,من الممكن,1
ما رأيك في التعديلات الجديدة على قوانين كرة القدم واستخدام التكنولوجيا في احتساب التسلل وطريقة احتساب الوقت بدل الضائع في مباريات كأس العالم 2022 بقطر ,0,اى شيئ يتم تطبيقة لتحقيق العدل أنا مؤيد له وبشدة   وضد مقولة   الأخطاء متعة من متع كرة القدم   هذه المقولة من أطلقها لا يحب العدل و من يرددها لن يقبل العدل و الأنصاف  ,1
هل ستنجح قطر في تنظيم أفضل بطولة لكأس العالم بعد الافتتاح المبهر والإمكانيات الكبيرة المتوفرة والمبالغ الضخمة التي صرفت على المونديال ,0,طبعا تستطيع,1
هل يمكنني إنقاص الوزن بالمشي 45 دقيقة في اليوم  أقصد المشي السريع مع تغذية متوازنة ,0, 30 دقيقة كافية على الساعة 12H00 ظهرايستوجب عليك فعل مايلي01 تبكير وجبة العشاء ولاتنم إلا بعد ساعتين02 أترك عنك وجبة الفطور قد تسمع كثيرا أن الفطور صحي وبلسان بعض الاطباء لكن هذه المعلومة خاطئة مادام الفطور فيه الكثير من السكريات والخبز  لكن مادام الأمر يتعلق بإنقاص الوزن فإزالة الفطور شيء إجباري03 الصيام المتقطع لمدة 16 ساعة مع شرب الماء في أي وقت أمكن انطلاقا من وجبة عشاء أمس إلى وجبة غذاء اليوم04 إبتعد تماما عن السكروز أي سكر المائدة أي السكر المصنع أو إن شئت سميه السم القاتل فهو سبب كل المشاكل الصحية ولانقصد بذالك السكر النباتي الذي خلقه الله فيما انبته من الأرض فما خلق الرحمن ينفع البشر وماصنعه الإنسان بيده يضر البشر وتذكر دائما قول ربك سبحانه 05 أترك عنك الوجبة الزوالية واكتفي بوجبتين غنيتين بالبروتينات و بمايلزمك من السعرات الحرارية في اليوم  06 أترك عنك الأكل العاطفي والأكل بدون وقت07 لاتكثر من أكل الخبز خذ ربع أو أقل من قرص الخبز يكفيك مع كل وجبة وإن كان لابد منه فاشويه في النار  إذا كنت موظف وتستغرق وقتا طويلا في العمل وتخاف ع نفسك من الجوع يمكنني ان أزودك ببرنامج فيل غريت في رابط أسفله مع فيديوهات شرح و الذي سيساعدك حتما على الصيام المتقطع وتزويدك بالطاقة اللازمة ويشعرك بالشبع وتحقيق هدفك من دون الإحساس بالجوع  إنها مكملات بيو من شركة يونيسيتي الأمريكية أي لاتحتوي على مواد كيماوية مصنعة ولديها فروع في معظم الدول العربية ومنهم المغرب والجزائر وعمان والبحرين والسعودية ومصر وغيرهم وقد جاءت بعلم جينومسوتيكلز وهو علم تشبيب وتصغير الخلية  كل منتجات يونيسيتي مرفوقة على موسوعة ال PDR للمنتجات البيو  لاقتناء برنامج feelgreat من مركز يونيسيتي مباشرة إضغط الرابط أسفلهhttps   unicity link 972af01d2cشهادات عربية غلى هذا الفيديو,1
لدي سؤال فضولي كم هية تكلفة الاجماليه لحضور نهائي كأس العالم في قطر  شاملة الاقامه في فندق عادي و تذكره لحضور جميع المباريات ,0,اعتقد انها ليست تكلفه انما هى تذكره مجانيه بس بشرط تكون داخل قطر مشجع لجميع الدول,1
هل يمكنني الجري وأنا بوزن 98 كيلو جرام ,0,نعم,1
هل أربح من اليوتيوب عند نشر ملخص مباريات كأس العالم أم تربح الشركة الراعية أرباحي  وكيف يمكن إيجاد الحل ,0,السلام عليكم أخي لن تربح شيئا ما دمت لن تعدل على الفيديو وتزيل حقوق الطبع والنشر وهذا صعب جدا لأن سياسة اليوتوب لا تقبل بذالك وقد تغلق قناتك,0
ما هو الشيء الذي يجعلك تحب كرة القدم ,0,ممارستها  فأنا أحب كرة القدم لأني امارسها واستمتع كثيرا  عندما امارسها فهي تخلصك من الطاقة السلبية وتنشط الذاكرة والنقطة الأهم هي صحة للجسم ,1
ما هي فائدة نصف الدائرة التي تكون بعد خط ال 18 في ملعب كرة القدم ,0,كل رسم داخل ملعب كرة القدم له دلالات وفوائد بالنسبة للقوانين الرياضية فهذا القوس فائدة هو بقاء جميع اللاعبين خارجه بإستثناء المنفذ لضربة الجزاء حتى يكونوا على ب عد 9 14 م من الكرة ,0
ما توقعاتك لنتيجة المبارة النهائية بين المغرب والجزائر على كأس العرب 2022 اليوم ,0,1 0 الجزائر يارب,0
من هو الفريق الأوروبي الذي تراه مناسبا  لحمل لقب دوري أبطال أوروبا لعام 2022 2023 ,0,من شستر ستي الأكثر فاعلية و عقلية الفوز,1
ما هو أسهل مركز في كرة القدم ,0,حارس مرمى  طبعا,1
عمري تجاوز ال19 سنة وأنا أحب لعب كرة القدم جدا  وكنت ألعبها في صغري بالحارات ولم ألعبها منذ مدة ولا في نادي حتى  ولكن لدي  رغبة وشعور أني أستطيع أن أصبح لاعب كرة قدم  هل هذه مجرد أحلام يقظة أم أنه شيء ممكن حقا  وعلي  السعي وراءه بجانب تفوقي الجامعي ,0,إبدأ ومارس كرة القدم مادمت تحبها ستنجح وتصل يوما  الي هدفكولكن لا تجعل ذلك يؤثر علي مستقبلك العلمي  ,0
ابني ذو الست سنوات لا يحب ممارسة كرة القدم  هل من حلول كي أحببها له ,0,ده طبيعي لان كل شخص يختلف عن الاخر في صفاته وفي ميوله وهوياته   نصيحة    ابحث معه عن ما يجد نفسه فيه ولا تفرض عليه شئ  ,1
أنا من محبي كرة القدم وألعبها أيضا  لكن مشكلتي أني أريد أن أصبح لاعب محترف ولتحقيق حلمي هناك عوائق أولها الدراسة وثانيها قلة الأكاديميات والفرق في مدينتي  هل يمكنني أن أصبح لاعب في سن 20 عام أو أكثر بقليل ,0,ياعزيزي خذ نصيحة مجرب ولا تسأل طبيب كرة القدم هي مستقبلك هي كل شئ في حياتك إذا موهبة فعلا  و قادر علي إحداث الفرق في مباريات وان تبرز نفسك في ملعب و تكون لاعب لك مكانه كبيره في فريق و تقدم مستوي ممتاز أكيد رح تجيك العروض و تحترف علي سبيل لنقل أنك محترف في الوظن العربي في شمال إفريقيا في تونس أو جزائر إذا إنتقلت إلي نادي 250 000  دولار علي أقل تقدير بيكون مكسب لك 125 000 بشكل مضمون بينما وظيفتك المملة بعد تدرس وتتعب رح تعطيك راتب قليل يأخي لو يرجع بي زمن للوراء والله العلي العظيم رح أدخل نادي ومارح أفكر عزيزي تحياتي لك بالتوفيق,0
ما هي الرياضة المتكاملة  عمري 19 عام كنت متوقف عن الرياضة لمدة شهور قليلة وأريد العودة  كنت ألعب سابقا  كرة القدم وقبل ذلك بسنين الإسكواش ومنذ صغري كنت أمارس السباحة  فما هي أفضل وأكثر رياضة متكاملة ,0,كرة القدم أفضل واكثر رياضه متكامله أن أتقنتعا وتستمر,1
أنا شاب عمري 19 وأعشق كرة القدم وأعيش في تركيا  لدي طموح كبير ولكني منذ 6 أشهر بدأت التدريب  هل يمكنني الوصول لطموحي أم فاتني القطار لأني لم أبدأ بها منذ الصغر  الكثير من الناس يحطموني ولكن لا يأثر بي  أريد نصيحة مجرب ومدرب ذو خبرة ,1,مافاتك شي انضبط واستمر ولاتستسلم جاء في بالي لاعب ميلان البرازيلي لميسياس احترف كرة القدم وعمره ٢٩ والموسم اللي فات حقق الدوري فيه امل,0
ما حظوظ الدون للانتقال الى نادي البايرن حسب ما تتناقله بعض الصحف   ام ان الدون سيختار البقاء في الشياطين الحمر ,0,بايرن ميونيخ نفى علنا  على لسان عدة إداريين أنه لانية لهم في التوقيع مع كريستيانو رونالدو  وعلى نفس المنوال تم نفي الأخبار التي ربطته بأندية كأتلتيكو مدريد  وريال مدريد  وتشيلسي  وباريس سان جيرمان حاليا  الأقرب هو استمراره مع مان يونايتد  وهناك إمكانية بنسبة ضعيفة أن ينتقل لدورتموند بما أنه يبحث عن اللعب في دوري الأبطال  وتجربة دوري جديد يمكنك متابعة آخر الأخبار الخاصة بسوق الانتقالات أولا بأول ومن مصادر موثوقة عبر موقع  transfermercato com,0
ماذا أفعل لو كنت من أصحاب النظارات وأحب كرة القدم جدا   لم أمارسها لمدة سنة كاملة بسبب الدراسة  سابقا  كنت ألعب بدون النظارات ولكن الآن لا أستطيع ,0,انا كنت استعمل النظارات واجريت عملية فيمتو ليزك منذ اسبوعين تقريبا   عملية سهلةو منذ اول يوم عملية استطعت الرؤية بوضوح   والحمدلله اخيرا خلصت من النظارات المزعجة   انصحك بالعملية واختر طبيب ماهر,1
عمري 20 سنة وأريد أن أتعلم كرة القدم  هل العمر سيشكل عائقا  لي  وكم من الوقت سأحتاج للتعلم ,0,العمر ليس عائق لتعلم رياضة كرة القدم سيكون عائق في حالة واحده اذا اردت الانضمام الي نادي ولعب بطولات   لان النوادي تختار عن طريق عملية الانتقاء ومن خصائص الانتقاء السن الصغير لذلك تعلم كره القدم لاتقانها وجعلها هواية سيكون خيار جيداما عن الوقت فهي مسألة فردية هناك من يتعلم بسرعه وهناك من يحتاج لوقت لكي يتعلم  وعلي حسب المدرب هناك مدربين يعلمون مهارات بسرعه وهناك ببطئفي كلتا الحالتين ستتعلم باذن اللهاتمني لك التوفيق,0
لاعبين كرة قدم محترفين و مشاهير بدأو العب في سن كبير و أصبحوا من افضل الاعبين في العالم  ,0,أعتقد أفضل مثال هو الأسطورة البرازيلية سوكراتيس الذي احترف في سن 22 عاما   واستطاع التوفيق بين كرة القدم والدراسة  حيث كان اختصاصي في طب الاطفال  وشارك مع البرازيل في المونديال مرتين ,0
كيف أجعل مدة تنفسي طويلة في كرة القدم  يعني أنني أتعب بسرعة ولا أجد الأكسجين الكافي طوال 90 دقيقة رغم أني جربت كل التمرينات لتطويل التنفس ,0,صديقي كنت تبحث عن إجابة وأعطيتك اقتراحا   عليك أن تعمل بجد   عليك أن تعمل بسرعة   إن لم يكن الآن من يوم آخر  يمكنني فقط  تقديم المشورة لك كل التوفيق,1
هل يمكن لشخص لم يمارس كرة القدم في الصغر وبدأ ممارستها بعد عمر 13 عام الاحتراف ,0,نعم ياخي كلشي ممكن في الحياة ا,1
هل تتوقع صعود نادي الزمالك إلى الدور التالي في دوري أبطال أفريقيا بعد هزيمته اليوم أمام الوداد المغربي بالثلاثة ,0,اعتقد الأمور هتكون صعبة بشكل كبير و خاصة أن فريق أتليتكو الانجولى الماتش اللى جى مع الفريق الانجولى أيضا يعنى غالبا المنافسة على المركز الثانى بين الوداد و الزمالك بنسبة ٢٠  و سوف يتكرر نفس سيناريو العام الماضى,0
لماذا تبدو بعض الفرق قليلة الحيلة وهي تلعب أمام فريق مانشستر سيتي الإنجليزي وتجد ذات الفرق قادرة على مقارعة فرق أخرى كبيرة في دوريها  فما السر في ذلك ,0,السيتى فريق كبير ومعاه أحسن مدرب في العالميلعب كرة هجومية يعتمد على الاستحواذ طول المباراة بإضافة لامتلاكه أحسن لاعبين وإنفاق غير عادى على التعاقدات فى كل المراكز,1
هل يمكن للمدرب الشخصي رفع مستواي في كرة القدم ,0,نعم هو يستطبع ان يرفع من مستواك لكن الى حد معين تستطيع اللعب مع اقرانك مثلا فالمدرب لن يجعل منك ميسى او رونالدو الا اذا كنت موهوبا بالفطرة,1
بعدما ضرب المنتخب المصري موعدا  مع المنتخب المغربي في الدور ربع النهائي من مباريات كأس الأمم الإفريقية  من تتوقع أن يفوز بين الشقيقين ويصعد للمربع الذهبي ,0,إن شاء الله مصر,0
أنا عمري 18 سنة وأحلم بأن أصبح لاعب كرة قدم  هل أستطيع تحقيق حلمي رغم سني مع العلم أنني أعاني من مرض الرهاب الاجتماعي ولم ألعب كرة القدم كثيرا  في حياتي ,0,السلام للجميع كل ما تريد أن تقرر  تقرر في أقرب وقت ممكن  الوقت ينفد  الوقت لن ينتظرك ويجب أن يكون قبل ذلك ,1
بعد خروج الجزائر من مرحلة المجموعات  لقاءات دور الستة عشر من بطولة الأمم الأفريقية  مصر تلاقي كوت ديفوار وتونس تلاقي نيجيريا في موقعتين ناريتين  المغرب تلاقي مالاوي في مباراة أسهل نسبيا   من تتوقع من المنتخبات العربية أن يكمل مشوار البطولة ,0,مصر تقابل كوت ديفوار تمامتونس تقابل نيجيريا ازاى المفروض تقابل ثانى مجموعة كوت ديفوار تقريبا غينيا الاستوائية,1
أريد أن أدرس تكتيكات كرة القدم  هل تتوافر كورسات لذلك ,0,في كورسات في موقع barca hub تابعه لبرشلونه ممكن تفيدك,1
عمري 19 سنة  هل فاتني الوقت على كرة القدم ,0,حسنا  إذا كنت لذيك موهبة وعندك قدرة بذنية للعب لابأس نصيحتي أنا 26سنة فاتني الوقت بس أكثر شيء ندمت عليه إنني مادخلت عالم كرة القدم الإحتراف و الشهرة حكاية متعة يعيشها اللاعبين كل شئ فيها ممتع أجوائها الجو مع اللاعيبة و مدربين و النادي أجواء جميلة جدا ,1
ما هي توقعاتك لنتيجة مباراة الجزائر وقطر اليوم في نصف نهائي بطولة كأس العرب  وكيف ترى سيناريو اللقاء بين الفريقين ,0,اتوقع 50 50 بين الفريقين والمقابلة ستذهب الى ركلات الترجيح,0
